iter	LogCosh
0	619.4107232
1	608.26473
2	599.777001
3	590.7275569
4	581.7474887
5	571.4933424
6	562.3893214
7	553.7044898
8	545.5295036
9	536.3360975
10	528.4099916
11	520.0209633
12	511.750398
13	504.4350551
14	496.018699
15	487.7346834
16	480.3086243
17	472.9347188
18	465.166349
19	457.4447252
20	449.9911095
21	443.1532603
22	436.3006938
23	429.3355347
24	422.5805989
25	416.7431308
26	410.5236659
27	404.5174869
28	398.9332263
29	393.0567049
30	387.4712225
31	382.0605796
32	377.2712024
33	372.298418
34	367.207116
35	362.0554128
36	357.218529
37	352.4751374
38	348.3145772
39	344.0992371
40	339.8569686
41	335.8809876
42	332.0780524
43	328.279578
44	324.558695
45	321.0794287
46	317.4111739
47	313.8621921
48	310.5157541
49	307.0476144
50	303.6342422
51	300.5055311
52	297.398734
53	294.5249883
54	291.5004789
55	288.626897
56	285.7764333
57	282.9550206
58	280.4452149
59	277.8102225
60	275.1748928
61	272.8681975
62	270.4313593
63	268.1559761
64	266.184264
65	263.9357885
66	261.9072329
67	260.1706603
68	258.2184859
69	256.2320332
70	254.3512836
71	252.3758065
72	250.6221709
73	248.8173712
74	247.2164882
75	245.4625303
76	243.8871845
77	242.3573567
78	240.9256001
79	239.5317642
80	238.0376968
81	236.6222891
82	235.2782266
83	233.957022
84	232.6640678
85	231.3408595
86	230.0288147
87	228.616476
88	227.433341
89	226.1887804
90	225.0216364
91	223.9391478
92	222.8221835
93	221.787003
94	220.6627871
95	219.6260858
96	218.5676777
97	217.5605767
98	216.662903
99	215.7275067
100	214.9353665
101	214.055299
102	213.2042119
103	212.433595
104	211.6789838
105	210.8653095
106	210.0730082
107	209.3124043
108	208.6022156
109	207.8272016
110	207.0696433
111	206.3353989
112	205.6893249
113	205.1144783
114	204.4926302
115	203.8632944
116	203.2440102
117	202.6665639
118	202.1053383
119	201.5518048
120	200.9315704
121	200.3391009
122	199.8680836
123	199.3608173
124	198.7911695
125	198.2629606
126	197.7522868
127	197.4145457
128	196.9576122
129	196.4919028
130	196.0104002
131	195.6383921
132	195.1965157
133	194.7313684
134	194.3393767
135	193.9028944
136	193.5182442
137	193.133538
138	192.7527905
139	192.3183941
140	191.9407865
141	191.6116723
142	191.3105493
143	190.972367
144	190.657912
145	190.2878475
146	189.981883
147	189.6535656
148	189.2922809
149	188.9177379
150	188.6434981
151	188.3228599
152	187.9952792
153	187.7431077
154	187.5428386
155	187.2718606
156	187.0125348
157	186.7852747
158	186.4974766
159	186.3267186
160	186.1218985
161	185.8587801
162	185.6309885
163	185.4043885
164	185.119196
165	184.9192346
166	184.7509181
167	184.5402062
168	184.2797258
169	184.0827322
170	183.850836
171	183.5932905
172	183.3808244
173	183.227762
174	183.0238817
175	182.8261188
176	182.7006533
177	182.5546424
178	182.3453103
179	182.1631164
180	181.9481939
181	181.7833798
182	181.6495505
183	181.4697525
184	181.3092528
185	181.1700885
186	181.0441559
187	180.8838196
188	180.6565915
189	180.5361903
190	180.3802451
191	180.2143773
192	180.0487054
193	179.8847539
194	179.6962565
195	179.5301726
196	179.3718876
197	179.2211557
198	179.0940556
199	178.9652129
200	178.8011813
201	178.6482499
202	178.4964387
203	178.3660909
204	178.249405
205	178.1158818
206	178.0282879
207	177.9293739
208	177.8241863
209	177.6579366
210	177.5624993
211	177.4269851
212	177.2634917
213	177.1895898
214	177.0477361
215	176.9419539
216	176.8093672
217	176.6505962
218	176.6078502
219	176.5322429
220	176.3834672
221	176.2778917
222	176.1946195
223	176.0929184
224	175.979827
225	175.8973013
226	175.7506354
227	175.6587357
228	175.5787354
229	175.5129276
230	175.4330435
231	175.305388
232	175.230229
233	175.1498214
234	175.0899606
235	174.9708507
236	174.9182081
237	174.7888176
238	174.6842202
239	174.5592604
240	174.4524743
241	174.3922796
242	174.3441193
243	174.2635081
244	174.1529277
245	174.1023935
246	174.0289351
247	173.9551689
248	173.8727533
249	173.8000646
250	173.7200091
251	173.6563105
252	173.5988552
253	173.5222815
254	173.416212
255	173.3790705
256	173.2940367
257	173.17807
258	173.0883168
259	173.0681097
260	173.0059749
261	172.988757
262	172.941658
263	172.8779867
264	172.8394615
265	172.8070957
266	172.7854432
267	172.7450296
268	172.718996
269	172.68289
270	172.6657217
271	172.5916668
272	172.5195664
273	172.4036626
274	172.3644924
275	172.2801956
276	172.2050062
277	172.1471034
278	172.1204861
279	172.0598075
280	171.9731296
281	171.8702995
282	171.8166411
283	171.7894197
284	171.7238083
285	171.6979502
286	171.6417194
287	171.5828377
288	171.5496747
289	171.5124097
290	171.4585872
291	171.4139306
292	171.3914012
293	171.308293
294	171.2691955
295	171.1528988
296	171.0811095
297	171.0596297
298	171.0224224
299	170.9678893
300	170.9228455
301	170.8083255
302	170.7687592
303	170.714202
304	170.6314456
305	170.5957765
306	170.5323988
307	170.4843517
308	170.4611342
309	170.4180925
310	170.3104916
311	170.2182242
312	170.1743784
313	170.130302
314	170.0859859
315	170.0242788
316	170.0149555
317	169.9556203
318	169.9061663
319	169.8745515
320	169.7984838
321	169.7776889
322	169.7561144
323	169.7198217
324	169.7009799
325	169.6556465
326	169.5589762
327	169.4573474
328	169.4029586
329	169.3431373
330	169.279712
331	169.2456712
332	169.235088
333	169.2076625
334	169.146828
335	169.1126596
336	169.0818598
337	169.0596276
338	169.0205669
339	169.0118364
340	168.9509997
341	168.8882452
342	168.8723307
343	168.8417949
344	168.7780979
345	168.71269
346	168.6689501
347	168.6571445
348	168.6052242
349	168.5795965
350	168.5541008
351	168.5139669
352	168.5000234
353	168.4652765
354	168.4222733
355	168.3386314
356	168.251762
357	168.1762865
358	168.1461021
359	168.1078037
360	168.0668822
361	168.008755
362	167.9794336
363	167.9357364
364	167.8863059
365	167.8592828
366	167.8499421
367	167.7856151
368	167.7483356
369	167.6738296
370	167.6294174
371	167.5748907
372	167.5641213
373	167.5149388
374	167.4915374
375	167.4432585
376	167.4173875
377	167.3792673
378	167.3276973
379	167.3103039
380	167.218595
381	167.1984495
382	167.1316357
383	167.0998208
384	167.0871555
385	167.0564381
386	167.0391728
387	167.0049216
388	166.9371124
389	166.9036564
390	166.8360145
391	166.7922474
392	166.7516796
393	166.7428508
394	166.7080217
395	166.6156486
396	166.5407517
397	166.472626
398	166.4052288
399	166.3470452
400	166.3184087
401	166.2719947
402	166.2243913
403	166.1872426
404	166.173192
405	166.1272942
406	166.0945727
407	166.0579255
408	166.0260793
409	166.0217913
410	165.9842362
411	165.9701776
412	165.9516948
413	165.9425396
414	165.9125268
415	165.8769044
416	165.8425753
417	165.8127809
418	165.7975687
419	165.7277842
420	165.7117684
421	165.6767807
422	165.6396143
423	165.5972379
424	165.5750092
425	165.5135489
426	165.4870364
427	165.4603838
428	165.359567
429	165.3112381
430	165.2376347
431	165.2037893
432	165.1807529
433	165.1695958
434	165.0989102
435	164.992965
436	164.9291048
437	164.8875651
438	164.8197383
439	164.7656359
440	164.744688
441	164.6989423
442	164.6840081
443	164.6651994
444	164.6381032
445	164.6170727
446	164.5999863
447	164.5617155
448	164.5358763
449	164.5207779
450	164.472559
451	164.4385164
452	164.4229676
453	164.3987796
454	164.3861633
455	164.2892688
456	164.2531766
457	164.1501032
458	164.1332309
459	164.0684059
460	164.032528
461	163.9413619
462	163.9048125
463	163.8909198
464	163.8053113
465	163.7856287
466	163.7117228
467	163.6665002
468	163.6460609
469	163.6128829
470	163.5898639
471	163.5629083
472	163.5469982
473	163.5119176
474	163.4533831
475	163.370723
476	163.2988918
477	163.2879239
478	163.2529913
479	163.2113371
480	163.1491819
481	163.0876927
482	163.0753516
483	163.0428506
484	162.9782768
485	162.9251235
486	162.870464
487	162.8313145
488	162.8035802
489	162.7639301
490	162.7184498
491	162.6795097
492	162.6524779
493	162.5716678
494	162.5415141
495	162.5261313
496	162.5029613
497	162.4874118
498	162.4011254
499	162.3568558
